date,location_id,sku_id,reported_qty_sold
2024-11-28,LOC-04,SKU-0001,129
2024-11-29,LOC-04,SKU-0001,137
2024-11-30,LOC-04,SKU-0001,136
2024-12-01,LOC-04,SKU-0001,115
2024-12-02,LOC-04,SKU-0001,129
2024-12-03,LOC-04,SKU-0001,141
2024-12-04,LOC-04,SKU-0001,136
2024-12-05,LOC-04,SKU-0001,142
2024-12-06,LOC-04,SKU-0001,155
2024-12-07,LOC-04,SKU-0001,153
2024-12-08,LOC-04,SKU-0001,154
2024-12-09,LOC-04,SKU-0001,143
2024-12-10,LOC-04,SKU-0001,711
2024-12-11,LOC-04,SKU-0001,137
2024-12-12,LOC-04,SKU-0001,141
2024-12-13,LOC-04,SKU-0001,125
2024-12-14,LOC-04,SKU-0001,128
2024-12-15,LOC-04,SKU-0001,134
2024-12-16,LOC-04,SKU-0001,140
2024-12-17,LOC-04,SKU-0001,142
2024-12-18,LOC-04,SKU-0001,123
2024-12-19,LOC-04,SKU-0001,129
2024-12-20,LOC-04,SKU-0001,109
2024-12-21,LOC-04,SKU-0001,126
2024-12-22,LOC-04,SKU-0001,120
2024-12-23,LOC-04,SKU-0001,109
2024-12-24,LOC-04,SKU-0001,94
2024-12-25,LOC-04,SKU-0001,109
2024-12-26,LOC-04,SKU-0001,104
2024-12-27,LOC-04,SKU-0001,104
2024-12-28,LOC-04,SKU-0001,100
2024-12-29,LOC-04,SKU-0001,88
2024-12-30,LOC-04,SKU-0001,108
2024-12-31,LOC-04,SKU-0001,76
2025-01-01,LOC-04,SKU-0001,90
2025-01-02,LOC-04,SKU-0001,789
2025-01-03,LOC-04,SKU-0001,103
2025-01-04,LOC-04,SKU-0001,110
2025-01-05,LOC-04,SKU-0001,109
2025-01-06,LOC-04,SKU-0001,93
2025-01-07,LOC-04,SKU-0001,95
2025-01-08,LOC-04,SKU-0001,108
2025-01-09,LOC-04,SKU-0001,107
2025-01-10,LOC-04,SKU-0001,112
2025-01-11,LOC-04,SKU-0001,138
2025-01-12,LOC-04,SKU-0001,602
2025-01-13,LOC-04,SKU-0001,125
2025-01-14,LOC-04,SKU-0001,129
2025-01-15,LOC-04,SKU-0001,126
2025-01-16,LOC-04,SKU-0001,123
2025-01-17,LOC-04,SKU-0001,148
2025-01-18,LOC-04,SKU-0001,138
2025-01-19,LOC-04,SKU-0001,145
2025-01-20,LOC-04,SKU-0001,497
2025-01-21,LOC-04,SKU-0001,114
2025-01-22,LOC-04,SKU-0001,138
2025-01-23,LOC-04,SKU-0001,126
2025-01-24,LOC-04,SKU-0001,146
2025-01-25,LOC-04,SKU-0001,145
2025-01-26,LOC-04,SKU-0001,170
2025-01-27,LOC-04,SKU-0001,149
2025-01-28,LOC-04,SKU-0001,135
2025-01-29,LOC-04,SKU-0001,156
2025-01-30,LOC-04,SKU-0001,129
2025-01-31,LOC-04,SKU-0001,121
2025-02-01,LOC-04,SKU-0001,121
2025-02-02,LOC-04,SKU-0001,106
2025-02-03,LOC-04,SKU-0001,101
2025-02-04,LOC-04,SKU-0001,650
2025-02-05,LOC-04,SKU-0001,117
2025-02-06,LOC-04,SKU-0001,458
2025-02-07,LOC-04,SKU-0001,713
2025-02-08,LOC-04,SKU-0001,607
2025-02-09,LOC-04,SKU-0001,111
2025-02-10,LOC-04,SKU-0001,93
2025-02-11,LOC-04,SKU-0001,91
2025-02-12,LOC-04,SKU-0001,89
2025-02-13,LOC-04,SKU-0001,85
2025-02-14,LOC-04,SKU-0001,110
2025-02-15,LOC-04,SKU-0001,111
2025-02-16,LOC-04,SKU-0001,99
2025-02-17,LOC-04,SKU-0001,487
2025-02-18,LOC-04,SKU-0001,98
2025-02-19,LOC-04,SKU-0001,112
2025-02-20,LOC-04,SKU-0001,127
2025-02-21,LOC-04,SKU-0001,96
2025-02-22,LOC-04,SKU-0001,101
2025-02-23,LOC-04,SKU-0001,120
2025-02-24,LOC-04,SKU-0001,109
2025-02-25,LOC-04,SKU-0001,123
2024-11-28,LOC-04,SKU-0006,68
2024-11-29,LOC-04,SKU-0006,70
2024-11-30,LOC-04,SKU-0006,90
2024-12-01,LOC-04,SKU-0006,78
2024-12-02,LOC-04,SKU-0006,95
2024-12-03,LOC-04,SKU-0006,78
2024-12-04,LOC-04,SKU-0006,544
2024-12-05,LOC-04,SKU-0006,88
2024-12-06,LOC-04,SKU-0006,88
2024-12-07,LOC-04,SKU-0006,99
2024-12-08,LOC-04,SKU-0006,84
2024-12-09,LOC-04,SKU-0006,115
2024-12-10,LOC-04,SKU-0006,95
2024-12-11,LOC-04,SKU-0006,106
2024-12-12,LOC-04,SKU-0006,651
2024-12-13,LOC-04,SKU-0006,96
2024-12-14,LOC-04,SKU-0006,95
2024-12-15,LOC-04,SKU-0006,87
2024-12-16,LOC-04,SKU-0006,93
2024-12-17,LOC-04,SKU-0006,85
2024-12-18,LOC-04,SKU-0006,77
2024-12-19,LOC-04,SKU-0006,92
2024-12-20,LOC-04,SKU-0006,63
2024-12-21,LOC-04,SKU-0006,67
2024-12-22,LOC-04,SKU-0006,70
2024-12-23,LOC-04,SKU-0006,513
2024-12-24,LOC-04,SKU-0006,66
2024-12-25,LOC-04,SKU-0006,58
2024-12-26,LOC-04,SKU-0006,50
2024-12-27,LOC-04,SKU-0006,49
2024-12-28,LOC-04,SKU-0006,70
2024-12-29,LOC-04,SKU-0006,60
2024-12-30,LOC-04,SKU-0006,45
2024-12-31,LOC-04,SKU-0006,57
2025-01-01,LOC-04,SKU-0006,449
2025-01-02,LOC-04,SKU-0006,46
2025-01-03,LOC-04,SKU-0006,66
2025-01-04,LOC-04,SKU-0006,76
2025-01-05,LOC-04,SKU-0006,83
2025-01-06,LOC-04,SKU-0006,596
2025-01-07,LOC-04,SKU-0006,79
2025-01-08,LOC-04,SKU-0006,74
2025-01-09,LOC-04,SKU-0006,659
2025-01-10,LOC-04,SKU-0006,75
2025-01-11,LOC-04,SKU-0006,74
2025-01-12,LOC-04,SKU-0006,82
2025-01-13,LOC-04,SKU-0006,77
2025-01-14,LOC-04,SKU-0006,83
2025-01-15,LOC-04,SKU-0006,85
