lot_id,sku_id,location_id,qty_on_hand,production_date,expiry_date
LOT-00001,SKU-0039,LOC-04,354,2025-02-25,2025-08-13
LOT-00002,SKU-0011,LOC-03,1739,2025-02-13,2025-05-29
LOT-00003,SKU-0036,LOC-03,404,2025-02-24,2025-04-07
LOT-00004,SKU-0021,LOC-01,643,2025-02-10,2025-06-04
LOT-00005,SKU-0022,LOC-05,1243,2025-02-25,2025-06-20
LOT-00006,SKU-0042,LOC-04,1949,2025-02-24,2025-04-02
LOT-00007,SKU-0015,LOC-03,960,2025-02-20,2025-04-19
LOT-00008,SKU-0037,LOC-03,1377,2025-02-23,2025-03-27
LOT-00009,SKU-0009,LOC-02,240,2025-02-18,2025-07-29
LOT-00010,SKU-0020,LOC-04,908,2025-02-21,2025-03-24
LOT-00011,SKU-0007,LOC-04,1824,2025-02-20,2025-06-16
LOT-00012,SKU-0036,LOC-02,1342,2025-02-22,2025-04-05
LOT-00013,SKU-0002,LOC-02,1693,2025-02-20,2025-06-04
LOT-00014,SKU-0044,LOC-02,820,2025-02-13,2025-06-20
LOT-00015,SKU-0036,LOC-04,808,2025-02-23,2025-04-06
LOT-00016,SKU-0018,LOC-05,1194,2025-01-31,2026-01-20
LOT-00017,SKU-0025,LOC-04,628,2025-02-25,2025-04-21
LOT-00018,SKU-0045,LOC-01,80,2025-02-20,2025-04-01
LOT-00019,SKU-0009,LOC-01,1472,2025-02-03,2025-07-14
LOT-00020,SKU-0033,LOC-03,194,2025-02-05,2025-06-13
LOT-00021,SKU-0039,LOC-02,174,2025-02-25,2025-08-13
LOT-00022,SKU-0023,LOC-05,1473,2025-02-16,2025-04-11
LOT-00023,SKU-0040,LOC-03,1945,2025-02-25,2025-04-23
LOT-00024,SKU-0003,LOC-01,1458,2025-02-16,2025-04-13
LOT-00025,SKU-0055,LOC-03,99,2025-02-25,2025-07-13
LOT-00026,SKU-0013,LOC-03,111,2025-02-10,2025-05-19
LOT-00027,SKU-0039,LOC-01,1820,2025-02-08,2025-07-27
LOT-00028,SKU-0023,LOC-05,1103,2025-02-25,2025-04-20
LOT-00029,SKU-0029,LOC-04,1405,2025-02-13,2025-06-12
LOT-00030,SKU-0028,LOC-02,1268,2025-02-09,2025-06-09
LOT-00031,SKU-0057,LOC-05,413,2025-02-21,2025-04-10
LOT-00032,SKU-0030,LOC-03,682,2025-02-05,2025-07-25
LOT-00033,SKU-0055,LOC-04,580,2025-02-05,2025-06-23
LOT-00034,SKU-0027,LOC-01,1645,2025-02-19,2025-05-30
LOT-00035,SKU-0041,LOC-03,864,2025-01-23,2026-01-04
LOT-00036,SKU-0037,LOC-01,283,2025-02-24,2025-03-28
LOT-00037,SKU-0044,LOC-03,1421,2025-02-12,2025-06-19
LOT-00038,SKU-0049,LOC-01,545,2025-02-25,2025-05-29
LOT-00039,SKU-0012,LOC-02,1996,2025-02-12,2026-02-06
LOT-00040,SKU-0059,LOC-01,1955,2025-02-12,2025-05-28
LOT-00041,SKU-0028,LOC-05,1378,2025-02-03,2025-06-03
LOT-00042,SKU-0053,LOC-04,923,2025-02-23,2026-01-10
LOT-00043,SKU-0006,LOC-04,522,2025-02-23,2025-04-03
LOT-00044,SKU-0038,LOC-05,1283,2025-02-24,2025-04-23
LOT-00045,SKU-0006,LOC-03,344,2025-02-21,2025-04-01
LOT-00046,SKU-0059,LOC-05,1724,2025-02-11,2025-05-27
LOT-00047,SKU-0060,LOC-03,1629,2025-01-30,2025-07-24
LOT-00048,SKU-0020,LOC-04,1884,2025-02-25,2025-03-28
LOT-00049,SKU-0040,LOC-02,1484,2025-02-19,2025-04-17
LOT-00050,SKU-0050,LOC-02,553,2025-02-10,2025-05-15
LOT-00051,SKU-0060,LOC-02,558,2025-02-09,2025-08-03
LOT-00052,SKU-0001,LOC-04,1139,2025-02-04,2025-07-30
LOT-00053,SKU-0032,LOC-03,1416,2025-02-18,2025-07-28
LOT-00054,SKU-0016,LOC-03,1720,2025-02-19,2025-10-14
LOT-00055,SKU-0054,LOC-01,365,2025-02-15,2025-10-21
LOT-00056,SKU-0038,LOC-04,1182,2025-02-20,2025-04-19
LOT-00057,SKU-0048,LOC-01,1399,2025-02-11,2025-06-26
LOT-00058,SKU-0016,LOC-05,487,2025-02-24,2025-10-19
LOT-00059,SKU-0033,LOC-04,1506,2025-02-21,2025-06-29
LOT-00060,SKU-0008,LOC-03,1333,2025-02-25,2025-04-05
LOT-00061,SKU-0033,LOC-04,538,2025-01-21,2025-05-29
LOT-00062,SKU-0030,LOC-05,999,2025-02-08,2025-07-28
LOT-00063,SKU-0008,LOC-03,1308,2025-02-25,2025-04-05
LOT-00064,SKU-0047,LOC-01,430,2025-02-21,2025-08-18
LOT-00065,SKU-0048,LOC-03,135,2025-01-28,2025-06-12
LOT-00066,SKU-0044,LOC-04,966,2025-02-10,2025-06-17
LOT-00067,SKU-0046,LOC-05,1909,2025-02-09,2025-06-26
LOT-00068,SKU-0029,LOC-01,1128,2025-02-10,2025-06-09
LOT-00069,SKU-0031,LOC-03,573,2025-02-25,2025-04-18
LOT-00070,SKU-0003,LOC-02,1136,2025-02-24,2025-04-21
LOT-00071,SKU-0031,LOC-02,749,2025-02-19,2025-04-12
LOT-00072,SKU-0027,LOC-02,1761,2025-02-25,2025-06-05
LOT-00073,SKU-0017,LOC-01,1128,2025-02-12,2025-05-29
LOT-00074,SKU-0042,LOC-02,1630,2025-02-25,2025-04-03
LOT-00075,SKU-0025,LOC-05,188,2025-02-25,2025-04-21
LOT-00076,SKU-0046,LOC-04,1779,2025-02-07,2025-06-24
LOT-00077,SKU-0015,LOC-04,1361,2025-02-25,2025-04-24
LOT-00078,SKU-0051,LOC-01,352,2024-12-30,2025-08-11
LOT-00079,SKU-0022,LOC-02,125,2025-02-19,2025-06-14
LOT-00080,SKU-0015,LOC-03,297,2025-02-18,2025-04-17
LOT-00081,SKU-0033,LOC-05,429,2025-02-01,2025-06-09
LOT-00082,SKU-0030,LOC-03,1293,2025-02-12,2025-08-01
LOT-00083,SKU-0052,LOC-05,895,2025-02-10,2025-08-08
LOT-00084,SKU-0058,LOC-02,99,2025-02-24,2025-04-10
LOT-00085,SKU-0053,LOC-01,1835,2025-02-04,2025-12-22
LOT-00086,SKU-0047,LOC-02,517,2025-02-06,2025-08-03
LOT-00087,SKU-0054,LOC-01,1912,2025-02-24,2025-10-30
LOT-00088,SKU-0039,LOC-05,1243,2025-01-28,2025-07-16
LOT-00089,SKU-0055,LOC-03,1528,2025-02-21,2025-07-09
LOT-00090,SKU-0057,LOC-05,276,2025-02-25,2025-04-14
LOT-00091,SKU-0005,LOC-01,725,2025-01-23,2025-08-30
LOT-00092,SKU-0030,LOC-05,827,2025-02-01,2025-07-21
LOT-00093,SKU-0010,LOC-05,79,2025-02-16,2025-07-09
LOT-00094,SKU-0019,LOC-02,1027,2025-02-02,2025-07-25
LOT-00095,SKU-0056,LOC-05,1891,2025-01-15,2025-09-11
LOT-00096,SKU-0002,LOC-01,1741,2025-02-03,2025-05-18
LOT-00097,SKU-0032,LOC-03,1168,2025-02-03,2025-07-13
LOT-00098,SKU-0033,LOC-01,1632,2025-02-03,2025-06-11
LOT-00099,SKU-0043,LOC-05,1321,2024-12-24,2025-11-29
LOT-00100,SKU-0043,LOC-04,584,2025-01-11,2025-12-17
LOT-00101,SKU-0012,LOC-02,706,2025-01-18,2026-01-12
LOT-00102,SKU-0026,LOC-05,1698,2025-02-05,2025-12-25
