sku_id,category,unit_cost,standard_shelf_life_days
SKU-0001,Snacks,3.79,176
SKU-0002,Snacks,1.2,104
SKU-0003,Dairy,8.01,56
SKU-0004,Beverage,3.89,183
SKU-0005,Beverage,0.97,219
SKU-0006,Dairy,7.25,39
SKU-0007,Snacks,3.25,116
SKU-0008,Dairy,5.66,39
SKU-0009,Snacks,1.4,161
SKU-0010,Snacks,0.71,143
SKU-0011,Snacks,0.79,105
SKU-0012,Beverage,3.29,359
SKU-0013,Snacks,3.58,98
SKU-0014,Snacks,2.73,101
SKU-0015,Dairy,4.59,58
SKU-0016,Beverage,2.22,237
SKU-0017,Snacks,4.86,106
SKU-0018,Beverage,3.61,354
SKU-0019,Snacks,0.9,173
SKU-0020,Dairy,5.25,31
SKU-0021,Snacks,4.23,114
SKU-0022,Snacks,2.94,115
SKU-0023,Dairy,2.75,54
SKU-0024,Beverage,1.04,323
SKU-0025,Dairy,9.07,55
SKU-0026,Beverage,0.57,323
SKU-0027,Snacks,4.38,100
SKU-0028,Snacks,0.79,120
SKU-0029,Snacks,3.78,119
SKU-0030,Snacks,2.62,170
SKU-0031,Dairy,9.61,52
SKU-0032,Snacks,2.72,160
SKU-0033,Snacks,0.61,128
SKU-0034,Dairy,8.36,30
SKU-0035,Snacks,4.58,136
SKU-0036,Dairy,9.56,42
SKU-0037,Dairy,4.9,32
SKU-0038,Dairy,10.08,58
SKU-0039,Snacks,4.12,169
SKU-0040,Dairy,7.39,57
SKU-0041,Beverage,1.48,346
SKU-0042,Dairy,6.27,37
SKU-0043,Beverage,0.33,340
SKU-0044,Snacks,1.5,127
SKU-0045,Dairy,11.43,40
SKU-0046,Snacks,3.66,137
SKU-0047,Snacks,4.83,178
SKU-0048,Snacks,1.85,135
SKU-0049,Snacks,3.24,93
SKU-0050,Snacks,1.75,94
SKU-0051,Beverage,0.84,224
SKU-0052,Snacks,1.59,179
SKU-0053,Beverage,1.18,321
SKU-0054,Beverage,2.64,248
SKU-0055,Snacks,0.91,138
SKU-0056,Beverage,0.99,239
SKU-0057,Dairy,8.78,48
SKU-0058,Dairy,4.26,45
SKU-0059,Snacks,3.61,105
SKU-0060,Snacks,1.12,175
